#phi    kapx    kapz    vl         vs1        vs2        vlx     vly      vlz     vs1x    vs1y     vs1z    vs2x    vs2y     vs2z
0.3526  +0.9385  +0.3453  5973.4260  3765.8755  3765.8755  0.9385  -0.0000   0.3453  0.0000  1.0000   0.0000  -0.3447  0.0615   0.9367  0.0000  1.0000 0.0000
0.3652  +0.9341  +0.3571  5973.4260  3765.8755  3765.8755  0.9341  -0.0000   0.3571  0.0000  1.0000   0.0000  -0.3565  0.0554   0.9326  0.0000  1.0000 -0.0000
0.3777  +0.9295  +0.3688  5973.4260  3765.8755  3765.8755  0.9295  -0.0000   0.3688  0.0000  1.0000   0.0000  -0.3679  0.0695   0.9273  0.0000  1.0000 0.0000
0.3903  +0.9248  +0.3805  5973.4260  3765.8755  3765.8755  0.9248  -0.0000   0.3805  0.0000  1.0000   0.0000  -0.3795  0.0735   0.9223  0.0000  1.0000 -0.0000
0.4029  +0.9199  +0.3921  5973.4260  3765.8755  3765.8755  0.9199  -0.0000   0.3921  0.0000  1.0000   0.0000  -0.3909  0.0776   0.9171  0.0000  1.0000 -0.0000
0.4155  +0.9149  +0.4037  5973.4260  3765.8755  3765.8755  0.9149  -0.0000   0.4037  0.0000  1.0000   0.0000  -0.4023  0.0818   0.9118  0.0000  1.0000 0.0000
0.4281  +0.9098  +0.4152  5973.4260  3765.8755  3765.8755  0.9098  -0.0000   0.4152  0.0000  1.0000   0.0000  -0.4136  0.0860   0.9064  0.0000  1.0000 0.0000
0.4407  +0.9045  +0.4266  5973.4260  3765.8755  3765.8755  0.9045  -0.0000   0.4266  0.0000  1.0000   0.0000  -0.4248  0.0903   0.9008  0.0000  1.0000 0.0000
0.4533  +0.8990  +0.4379  5973.4260  3765.8755  3765.8755  0.8990  -0.0000   0.4379  0.0000  1.0000   0.0000  -0.4360  0.0945   0.8950  0.0000  1.0000 0.0000
0.4659  +0.8934  +0.4492  5973.4260  3765.8755  3765.8755  0.8934  -0.0000   0.4492  0.0000  1.0000   0.0000  -0.4470  0.0988   0.8891  0.0000  1.0000 0.0000
0.4785  +0.8877  +0.4604  5973.4260  3765.8755  3765.8755  0.8877  -0.0000   0.4604  0.0000  1.0000   0.0000  -0.4580  0.1031   0.8830  0.0000  1.0000 0.0000
0.4911  +0.8818  +0.4716  5973.4260  3765.8755  3765.8755  0.8818  -0.0000   0.4716  0.0000  1.0000   0.0000  -0.4688  0.1074   0.8767  0.0000  1.0000 0.0000
